,price,rating,brand,ram,ssd_storage,color,processor
346,342490.0,4,Apple,24.0,2048,Silver,Unknown
347,47990.0,3,Acer,8.0,512,Silver,AMD
348,54800.0,3,Hp,8.0,512,Silver,Intel
349,134990.0,5,Microsoft,16.0,256,Silver,Snapdragon
350,194990.0,4,Apple,24.0,1024,Silver,Unknown
351,69990.0,3,Hp,16.0,512,Silver,Snapdragon
352,124790.0,3,Lenovo,16.0,512,Grey,Intel
353,72900.0,4,Lenovo,16.0,512,Grey,Intel
354,73990.0,4,Apple,8.0,256,Silver,Unknown
355,342490.0,4,Apple,24.0,1024,Silver,Unknown
356,72900.0,3,Hp,16.0,512,Silver,AMD
357,60990.0,4,Asus,16.0,512,Silver,AMD
358,200490.0,4,Apple,16.0,1024,Silver,Unknown
359,83490.0,4,Apple,8.0,512,Silver,Unknown
360,99990.0,4,Lenovo,16.0,512,Black,AMD
361,124886.05605786618,4,Lenovo,8.0,1024,Grey,Intel
362,86990.0,4,Hp,15.20558882235529,512,Silver,Intel
363,94900.0,4,Hp,4.0,512,Blue,Intel
364,103990.0,5,Dell,16.0,512,Silver,Intel
365,52680.0,3,Dell,8.0,512,Blue,Intel
366,249990.0,4,Hp,32.0,1024,Silver,Intel
367,82990.0,3,Lenovo,16.0,1024,Grey,Unknown
368,193990.0,4,Lenovo,32.0,1024,Grey,Intel
369,215990.0,3,Lenovo,8.0,1024,Grey,Intel
370,342490.0,4,Apple,24.0,2048,Silver,Unknown
371,47990.0,3,Acer,8.0,512,Silver,AMD
372,194990.0,4,Apple,24.0,1024,Silver,Unknown
373,215990.0,3,Lenovo,8.0,1024,Grey,Intel
374,94990.0,4,Hp,16.0,512,Blue,Intel
375,222990.0,5,Apple,24.0,1024,Silver,Unknown
376,73990.0,4,Apple,8.0,256,Silver,Unknown
377,114990.0,4,Hp,6.0,512,Silver,Unknown
378,445000.0,3,Msi,64.0,512,Black,Intel
379,342490.0,4,Apple,24.0,1024,Silver,Unknown
380,83490.0,4,Apple,8.0,512,Silver,Unknown
381,174500.0,4,Lenovo,8.0,1024,Grey,AMD
382,431990.0,2,Asus,16.0,2048,Black,AMD
383,69990.0,3,Hp,16.0,512,Silver,Snapdragon
384,118990.0,4,Lenovo,16.0,512,Grey,Intel
385,94990.0,5,Asus,16.0,512,Blue,AMD
386,199990.0,4,Lenovo,32.0,1024,Silver,Intel
387,999990.0,1,Alienware,16.0,2048,Silver,Intel
388,58990.0,4,Asus,8.0,512,Blue,Intel
389,58990.0,3,Asus,8.0,512,Silver,Intel
390,63990.0,4,Hp,8.0,512,Blue,Unknown
391,136990.0,4,Asus,16.0,512,Gray,Intel
392,529990.0,5,Asus,24.0,2048,Black,AMD
393,60990.0,4,Lenovo,8.0,512,Grey,Intel
394,342490.0,4,Apple,24.0,2048,Silver,Unknown
395,47990.0,3,Acer,8.0,512,Silver,AMD
396,194990.0,4,Apple,24.0,1024,Silver,Unknown
397,58990.0,4,Asus,8.0,512,Blue,Intel
398,58990.0,3,Asus,8.0,512,Silver,Intel
399,73990.0,4,Apple,8.0,256,Silver,Unknown
400,69990.0,3,Hp,16.0,512,Silver,Snapdragon
401,63990.0,4,Hp,8.0,512,Blue,Unknown
402,136990.0,4,Asus,16.0,512,Gray,Intel
403,342490.0,4,Apple,24.0,1024,Silver,Unknown
404,200490.0,4,Apple,16.0,1024,Silver,Unknown
405,529990.0,5,Asus,24.0,2048,Black,AMD
406,60990.0,4,Lenovo,8.0,512,Grey,Intel
407,83490.0,4,Apple,8.0,512,Silver,Unknown
408,53780.0,3,Hp,15.20558882235529,512,Silver,AMD
409,88990.0,4,Hp,16.0,512,Silver,Intel
410,186990.0,4,New,16.0,1024,Silver,Snapdragon
411,105000.0,5,Msi,16.0,512,Grey,Intel
412,19990.0,5,Acer,4.0,512,Black,MediaTek
413,61490.0,5,Hp,15.20558882235529,512,Silver,Intel
414,48990.0,4,Lenovo,8.0,512,Silver,AMD
415,273490.0,5,Lenovo,8.0,1024,White,Intel
416,91990.0,5,Hp,15.20558882235529,512,Silver,Intel
417,349990.0,4,Dell,64.0,2048,Silver,Intel
418,342490.0,4,Apple,24.0,2048,Silver,Unknown
419,47990.0,3,Acer,8.0,512,Silver,AMD
420,194990.0,4,Apple,24.0,1024,Silver,Unknown
421,136990.0,4,Hp,8.0,1024,Black,AMD
422,84140.0,4,Hp,15.20558882235529,512,Silver,Intel
423,75990.0,3,Hp,16.0,512,Silver,Intel
424,73990.0,4,Apple,8.0,256,Silver,Unknown
425,51100.0,3,Dell,15.20558882235529,512,Black,AMD
426,28299.0,4,Model,8.0,512,Silver,Unknown
427,73990.0,4,Apple,8.0,256,Grey,Unknown
428,69990.0,3,Hp,16.0,512,Silver,Snapdragon
429,50490.0,4,Acer,8.0,512,Black,Unknown
430,44999.0,5,Acer,8.0,512,Silver,AMD
431,342490.0,4,Apple,24.0,1024,Silver,Unknown
432,200490.0,4,Apple,16.0,1024,Silver,Unknown
433,53200.0,3,Hp,15.20558882235529,512,Silver,AMD
434,101990.0,4,Asus,16.0,512,Silver,Intel
435,69999.0,4,Lenovo,16.0,1024,Grey,Intel
436,65990.0,3,Hp,16.0,512,Silver,Intel
437,9999.0,2,Jiobook,4.0,512,Blue,MediaTek
438,56000.0,4,Hp,8.0,512,Silver,Intel
439,103990.0,4,Lenovo,16.0,1024,Grey,Intel
440,81490.0,5,Dell,16.0,512,Silver,Intel
441,82970.0,4,Lenovo,16.0,512,Silver,AMD
